name,type,lat,lng,address,phone,source,gmaps
119 Bar & Bistro,catering,13.7395229,100.5653752,"119 Bar & Bistro, Soi 100 Pi Sayam Samakhom, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7395229,100.5653752"
12 x 12,catering,13.7381916,100.5866173,"12 x 12, Soi Ekkamai 21, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7381916,100.5866173"
1919Bangkok,catering,13.7341272,100.5676487,"1919Bangkok, Soi Sukhumvit 33, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7341272,100.5676487"
1980s9,catering,13.7708262,100.4435162,"1980s9, Ratchaphruek Road (frontage), Taling Chan District, 10170, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7708262,100.4435162"
23 bar & gallery,catering,13.7104249,100.592173,"23 bar & gallery, Soi Phumichit, Khlong Toei District, 12060, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7104249,100.592173"
24 Bar บางใหญ่,catering,13.8855548,100.4084503,"24 Bar บางใหญ่, Kanchanaphisek Road Outer Service Road, Ban Rattanathibet, Bang Rak Phatthana Subdistrict, 11110, Thailand",,Geoapify,"https://www.google.com/maps/search/?api=1&query=13.8855548,100.4084503"
3 Bears Craft Brewery,catering,13.7247772,100.5631026,"3 Bears Craft Brewery, Soi Setthi Thawi Sap 2, Khlong Toei District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7247772,100.5631026"
3rd Pub,catering,13.7543215,100.6268283,"3rd Pub, Soi Ramkhamhaeng 24 Yaek 30, Bang Kapi District, 10241, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7543215,100.6268283"
60's Tree Bar,catering,13.7860267,100.5714437,"60's Tree Bar, Soi Ratchadaphisek 17, Din Daeng District, 10400, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7860267,100.5714437"
7-heaven,catering,13.7331809,100.5675959,"7-heaven, Sukhumvit 33 Soi 1, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7331809,100.5675959"
722 Craft Experience,catering,13.7296663,100.5950255,"722 Craft Experience, Soi Pridi Banomyong 31, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7296663,100.5950255"
72race&bar,catering,13.7221078,100.7744656,"72race&bar, Soi Lat Krabang 11/13, Lat Krabang District, 10520, Thailand",+66 86 318 1688,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7221078,100.7744656"
73 Bar,catering,13.7514077,100.5317953,"73 Bar, Phaya Thai Road, Ratchathewi District, 10400, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.7514077,100.5317953"
7th Street Bar & Bistro,catering,13.732211,100.5824086,"7th Street Bar & Bistro, Soi Thong Lo 10, Vadhana District, 10110, Thailand",,Geoapify+OSM,"https://www.google.com/maps/search/?api=1&query=13.732211,100.5824086"
